RegionName,Date,HomePrice
Mendocino County,2000-11-30,
Yuba County,2000-11-30,
Lake County,2000-11-30,
Tehama County,2000-11-30,
San Benito County,2000-11-30,
Tuolumne County,2000-11-30,
Calaveras County,2000-11-30,
Siskiyou County,2000-11-30,
Amador County,2000-11-30,
Lassen County,2000-11-30,
Glenn County,2000-11-30,
Del Norte County,2000-11-30,
Colusa County,2000-11-30,
Plumas County,2000-11-30,
Inyo County,2000-11-30,
Mariposa County,2000-11-30,
Trinity County,2000-11-30,
Mono County,2000-11-30,
Modoc County,2000-11-30,
Sierra County,2000-11-30,
Alpine County,2000-11-30,
Los Angeles County,2000-12-31,229716.214052903
San Diego County,2000-12-31,247108.73269179385
Orange County,2000-12-31,290974.4688649117
Riverside County,2000-12-31,168689.19917629668
San Bernardino County,2000-12-31,138267.65306998885
Santa Clara County,2000-12-31,495976.3511966669
Alameda County,2000-12-31,337206.4106032939
Sacramento County,2000-12-31,163876.38792887228
Contra Costa County,2000-12-31,318837.13724032853
Fresno County,2000-12-31,111517.04947530372
Kern County,2000-12-31,98198.13078321448
San Francisco County,2000-12-31,466682.20447730366
Ventura County,2000-12-31,289050.8929809348
San Joaquin County,2000-12-31,179837.1137625204
San Mateo County,2000-12-31,508807.9579654401
Stanislaus County,2000-12-31,161427.9669990783
Sonoma County,2000-12-31,300613.9764787762
Tulare County,2000-12-31,102417.3774965057
Solano County,2000-12-31,225905.50955969747
Santa Barbara County,2000-12-31,267042.0318588649
Monterey County,2000-12-31,290452.92673100525
Placer County,2000-12-31,266114.26871219365
San Luis Obispo County,2000-12-31,227626.17499928447
Merced County,2000-12-31,
Santa Cruz County,2000-12-31,338973.2493824694
Marin County,2000-12-31,515124.23771448544
Butte County,2000-12-31,
Yolo County,2000-12-31,195906.85526373063
El Dorado County,2000-12-31,232487.43821257853
Shasta County,2000-12-31,106685.49380317215
Imperial County,2000-12-31,
Madera County,2000-12-31,
Kings County,2000-12-31,
Napa County,2000-12-31,275372.8479486273
Humboldt County,2000-12-31,
Nevada County,2000-12-31,
Sutter County,2000-12-31,
Mendocino County,2000-12-31,
Yuba County,2000-12-31,
Lake County,2000-12-31,
Tehama County,2000-12-31,
San Benito County,2000-12-31,
Tuolumne County,2000-12-31,
Calaveras County,2000-12-31,
Siskiyou County,2000-12-31,
Amador County,2000-12-31,
Lassen County,2000-12-31,
Glenn County,2000-12-31,
Del Norte County,2000-12-31,
Colusa County,2000-12-31,
Plumas County,2000-12-31,
Inyo County,2000-12-31,
Mariposa County,2000-12-31,
Trinity County,2000-12-31,
Mono County,2000-12-31,
Modoc County,2000-12-31,
Sierra County,2000-12-31,
Alpine County,2000-12-31,
Los Angeles County,2001-01-31,230668.82618341583
San Diego County,2001-01-31,249520.4166004487
Orange County,2001-01-31,293432.63652736094
Riverside County,2001-01-31,170079.07018218897
San Bernardino County,2001-01-31,139373.02745126313
Santa Clara County,2001-01-31,506493.2540975745
Alameda County,2001-01-31,341203.79506234924
Sacramento County,2001-01-31,166157.14184784223
Contra Costa County,2001-01-31,322604.3907761662
Fresno County,2001-01-31,111749.44896986692
Kern County,2001-01-31,98309.75575650428
San Francisco County,2001-01-31,476509.50220982
Ventura County,2001-01-31,292026.8475818408
San Joaquin County,2001-01-31,182109.34047814255
San Mateo County,2001-01-31,518773.6474751394
Stanislaus County,2001-01-31,164214.19867717344
Sonoma County,2001-01-31,305223.8454446168
Tulare County,2001-01-31,102002.9049355436
Solano County,2001-01-31,228650.48638918207
Santa Barbara County,2001-01-31,270012.63163875137
Monterey County,2001-01-31,296125.66555507947
Placer County,2001-01-31,269573.22103300696
San Luis Obispo County,2001-01-31,231498.16991186416
Merced County,2001-01-31,142040.93726803383
Santa Cruz County,2001-01-31,346952.4776566902
Marin County,2001-01-31,522627.6876111093
Butte County,2001-01-31,135660.3938593786
Yolo County,2001-01-31,198420.8764224152
El Dorado County,2001-01-31,235593.1354308581
Shasta County,2001-01-31,106849.06478756534
Imperial County,2001-01-31,95004.71271500418
Madera County,2001-01-31,
Kings County,2001-01-31,102849.73870863616
Napa County,2001-01-31,280221.63189099694
Humboldt County,2001-01-31,140521.01462074294
